A to A routes
A1 A2
A2 A3
A3 A4
A4 A5
A5 A6
A6 A7
A7 A8
A8 A9
A9 A10
A10 A11
A11 A12
A12 A13
A13 A14
A14 A15
A15 A16
A16 A17
A17 A18
A18 A19
A19 A20

I to I routes
I1	I2
I2	I3
I3	I4
I4	I5
I5	I6
I6	I7
I7	I8
I8	I9
I9	I10
I10	I11
I11	I12
I12	I13
I13	I14
I14	I15
I15	I16
I16	I17
I17	I18
I18	I19
I19	I20
I20	I21
I21	I22
I22	I23
I23	I24
I24	I25
I25	I26
I26	I27

S to S routes
S1	S2
S2	S3
S3	S4
S4	S5
S5	S6
S6	S7
S7	S8
S8	S9
S9	S10
S10	S11
S11	S12
S12	S13
S13	S14
S14	S15
S15	S16
S16	S17
S17	S18
S18	S19
S19	S20
S20	S21

E to E routes
E1	E2
E2	E3
E3	E4
E4	E5
E5	E6
E6	E7
E7	E8
E8	E9
E9	E10
E10	E11
E11	E12
E12	E13
E13	E14
E14	E15
E15	E16
E16	E17
E17	E18
E18	E19
E19	E20
E20	E21
E21	E22
E22	E23
E23	E24
E24	E25
E25	E26
E26	E27
E27	E28
E28	E29
E29	E30
E30	E31
E31	E32
E32	E33
E33	E34
E34	E35
E35	E36
E36	E37
E37	E38

G to G routes
G1	G2
G2	G3
G3	G4
G4	G5
G5	G6
G6	G7
G7	G8
G8	G9
G9	G10
G10	G11
G11	G12
G12	G13
G13	G14
G14	G15
G15	G16
G16	G17
G17	G18
G18	G19

M to M routes
M1	M2
M2	M3
M3	M4
M4	M5
M5	M6
M6	M7
M7	M8
M8	M9
M9	M10
M10	M11
M11	M12
M12	M13
M13	M14
M14	M15
M15	M16
M16	M17
M17	M18
M18	M19
M19	M20
M20	M21
M21	M22
M22	M23
M23	M24
M24	M25

m' to m' routes
m3 m4
m4 m5

H to H routes
H1	H2
H2	H3
H3	H4
H4	H5
H5	H6
H6	H7
H7	H8
H8	H9
H9	H10
H10	H11
H11	H12
H12	H13
H13	H14
H14	H15
H15	H16
H16	H17
H17	H18
H18	H19
H19	H20
H20	H21

T to T routes
T1	T2
T2	T3
T3	T4
T4	T5
T5	T6
T6	T7
T7	T8
T8	T9
T9	T10
T10	T11
T11	T12
T12	T13
T13	T14
T14	T15
T15	T16
T16	T17
T17	T18
T18	T19
T19	T20
T20	T21
T21	T22
T22	T23

C to C routes
C1	C2
C2	C3
C3	C4
C4	C5
C5	C6
C6	C7
C7	C8
C8	C9
C9	C10
C10	C11
C11	C12
C12	C13
C13	C14
C14	C15
C15	C16
C16	C17
C17	C18
C18	C19
C19	C20
C20	C21

Y to Y routes
Y1	Y2
Y2	Y3
Y3	Y4
Y4	Y5
Y5	Y6
Y6	Y7
Y7	Y8
Y8	Y9
Y9	Y10
Y10	Y11
Y11	Y12
Y12	Y13
Y13	Y14
Y14	Y15
Y15	Y16
Y16	Y17
Y17	Y18
Y18	Y19
Y19	Y20
Y20	Y21
Y21	Y22
Y22	Y23
Y23	Y24

Z to Z routes
Z1	Z2
Z2	Z3
Z3	Z4
Z4	Z5
Z5	Z6
Z6	Z7
Z7	Z8
Z8	Z9
Z9	Z10
Z10	Z11
Z11	Z12
Z12	Z13
Z13	Z14

N to N routes
N1	N2
N2	N3
N3	N4
N4	N5
N5	N6
N6	N7
N7	N8
N8	N9
N9	N10
N10	N11
N11	N12
N12	N13
N13	N14
N14	N15
N15	N16
N16	N17
N17	N18
N18	N19

F to F routes
F1	F2
F2	F3
F3	F4
F4	F5
F5	F6
F6	F7
F7	F8
F8	F9
F9	F10
F10	F11
F11	F12
F12	F13
F13	F14
F14	F15
F15	F16

Any to Any routes
H21     C18
C18     H21

F1	Y1
F2	Y2
F3	Y3
F4	Y4
F5	Y5
F6	Y6
F7	Y7
F8      Y8

Y1	F1
Y2	F2
Y3	F3
Y4	F4
Y5	F5
Y6	F6
Y7	F7
Y8      F8

Y9      F9
F9      Y9
Y9      M25
F9      M25
M25     F9
M25     Y9

G16     H17
H17     G16

G19 A18
A18 G19

A20 Z14
Z14 A20

A17 E11
E11 A17

E9 G15
E9 H16
G15 E9
G15 H16
H16 E9
H16 G15

E8 M21
M21 E8

I12 E7
I12 N11
I12 M22
E7 I12
E7 N11
E7 M22
N11 I12
N11 E7
N11 M22
M22 I12
M22 E7
M22 N11

E2 F12
F12 E2

E6 T6
E6 Y13
E6 N10
T6 E6
T6 Y13
T6 N10
Y13 E6
Y13 T6
Y13 N10
N10 E6
N10 T6
N10 Y13

Z12 S13
S13 Z12

S11 E13
E13 S11

A15 S9
S9 A15

C12 S7
C12 M19
S7 C12
S7 M19
M19 S7
M19 C12

S6 Z7
S6 I10
Z7 S6
Z7 I10
I10 Z7
I10 S6

M6 E30
E30 M6

E1 M8
M8 E1

F13 S2
F13 M9
S2 F13
S2 M9
M9 S2
M9 F13

S4 Y14
S4 N9
Y14 S4
Y14 N9
N9 S4
N9 Y14

S6 Z6
S6 T7
Z6 S6
Z6 T7
T7 S6
T7 Z6

G12 Z9
Z9 G12

A14 H13
H13 A14

E14 Z11
Z11 E14

E15 T12
T12 E15

H12 T11
T11 H12

G11 T10
G11 A13
T10 G11
T10 A13
A13 T10
A13 G11

I9 C11
I9 T9
I9 M18
I9 Z8
C11 I9
C11 M18
C11 Z8
C11 T9
T9 I9
T9 C11
T9 M18
T9 Z8
M18 I9
M18 C11
M18 T9
M18 Z8
Z8 I9
Z8 C11
Z8 M18
Z8 T9

M12 N8
N8 M12

S1 E27
E27 S1

E24 Z3
E24 G4
Z3 E24
Z3 G4
G4 E24
G4 Z3

G5 M13
M13 G5

Y21 E16
E16 Y21

A11 H9
H9 A11

M16 G8
M16 H9
G8 M16
G8 H9
H9 M16
H9 G8

A10 C8
C8 A10

A9 E20
E20 A9

I4 A8
A8 I4

N4 E22
E22 N4

I3 N3
N3 I3

I2 N2
N2 I2

I1 N1
N1 I1

H4 E23
E23 H4

A10 G8
G8 A10
